epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6555,0.62345,3.4256,0.9554,0.00333,1,0.38674,0.38009,0.40497,3.11101,0.79444,0.00012,0.00012,0.00012
2,61.0994,0.61569,1.60431,0.92964,1,0.59476,0.96452,0.84323,0.48942,2.59036,0.81873,0.000254852,0.000254852,0.000254852
3,100.548,0.61815,1.21412,0.88858,0.00333,1,0.97344,0.82342,0.50499,2.78872,0.83272,0.00038416,0.00038416,0.00038416
4,158.266,0.60027,1.14504,0.92154,0.00333,1,0.98159,0.79598,0.51137,2.74688,0.81486,0.000507924,0.000507924,0.000507924
5,204.063,0.6456,1.10628,0.91854,1,0.19525,0.76788,0.65588,0.54797,2.71495,0.83046,0.000626144,0.000626144,0.000626144
6,250.933,0.64661,1.13877,0.9325,1,0.31536,0.7661,0.68317,0.56861,2.67619,0.83589,0.00073882,0.00073882,0.00073882
7,300.733,0.65116,1.07042,0.9265,1,0.45164,0.88002,0.74392,0.59227,2.36038,0.83819,0.000845952,0.000845952,0.000845952
8,348.928,0.72385,1.14732,0.97602,1,0.39088,0.995,0.8793,0.53868,2.3078,0.81591,0.00094754,0.00094754,0.00094754
9,395.01,0.64899,0.98196,0.94305,1,0.79087,0.995,0.86323,0.58173,1.97732,0.81363,0.00104358,0.00104358,0.00104358
10,4952.04,0.64625,1.00612,0.94012,1,0.95223,0.99389,0.88138,0.51109,1.86354,0.80198,0.00113408,0.00113408,0.00113408
11,4982.66,0.68263,0.9657,0.94601,1,0.99442,0.995,0.87907,0.56453,1.55719,0.83084,0.00121904,0.00121904,0.00121904
12,5015.73,0.62862,0.9685,0.91827,0.99682,1,0.995,0.87643,0.58345,1.11286,0.84779,0.00129845,0.00129845,0.00129845
13,5048.24,0.62706,0.89409,0.94322,0.95158,1,0.99389,0.86321,0.5816,1.15186,0.85684,0.00137232,0.00137232,0.00137232
14,5082.68,0.66092,0.93749,0.95445,0.99659,1,0.995,0.88031,0.54741,1.16708,0.83485,0.00144064,0.00144064,0.00144064
15,5117.16,0.62489,0.92163,0.94278,0.95961,1,0.99389,0.88772,0.49718,0.91012,0.82035,0.0014456,0.0014456,0.0014456
16,5151.83,0.64557,0.83913,0.97907,0.9952,1,0.995,0.87627,0.47781,0.8244,0.8115,0.001406,0.001406,0.001406
17,5186.37,0.66674,0.88747,0.93999,0.99575,1,0.995,0.90064,0.48709,0.80814,0.81341,0.0013664,0.0013664,0.0013664
18,5223.83,0.61875,0.80093,0.92882,0.99459,1,0.995,0.90225,0.50085,0.78973,0.81929,0.0013268,0.0013268,0.0013268
19,5260.35,0.644,0.85071,0.96926,0.99463,1,0.995,0.9055,0.47384,0.93185,0.81701,0.0012872,0.0012872,0.0012872
